"gov","minoria","pmdb","psd","psdb","pt","resultado","KIND"
"2","2","1","0","2","2","0.43",0
"0","2","1","0","2","2","0.268",0
"2","0","1","0","2","2","0.35",0
"0","0","1","0","2","2","0.2",0
"2","1","1","0","2","2","0.456",0
"0","1","1","0","2","2","0.284",0
"2","2","2","1","2","2","0.798",0
"0","2","2","1","2","2","0.744",0
"2","0","2","1","2","2","0.688",0
"0","0","2","1","2","2","0.624",0
"2","1","2","1","2","2","0.804",0
"0","1","2","1","2","2","0.684",0
"2","2","0","1","2","2","0.636",0
"0","2","0","1","2","2","0.46",0
"2","0","0","1","2","2","0.504",0
"0","0","0","1","2","2","0.318",0
"2","1","0","1","2","2","0.666",0
"0","1","0","1","2","2","0.4",0
"2","2","1","1","2","2","0.638",0
"0","2","1","1","2","2","0.494",0
"2","0","1","1","2","2","0.492",0
"0","0","1","1","2","2","0.324",0
"2","1","1","1","2","2","0.614",0
"0","1","1","1","2","2","0.362",0
"2","2","2","2","0","2","0.884",0
"0","2","2","2","0","2","0.826",0
"2","0","2","2","0","2","0.786",0
"0","0","2","2","0","2","0.71",0
"2","1","2","2","0","2","0.86",0
"0","1","2","2","0","2","0.782",0
"2","2","0","2","0","2","0.63",0
"0","2","0","2","0","2","0.556",0
"2","0","0","2","0","2","0.49",0
"0","0","0","2","0","2","0.36",0
"2","1","0","2","0","2","0.632",0
"0","1","0","2","0","2","0.51",0
"2","2","1","2","0","2","0.684",0
"0","2","1","2","0","2","0.592",0
"2","0","1","2","0","2","0.536",0
"0","0","1","2","0","2","0.386",0
"2","1","1","2","0","2","0.646",0
"0","1","1","2","0","2","0.51",0
"2","2","2","0","0","2","0.636",0
"0","2","2","0","0","2","0.486",0
"2","0","2","0","0","2","0.596",0
"0","0","2","0","0","2","0.458",0
"2","1","2","0","0","2","0.664",0
"0","1","2","0","0","2","0.51",0
"2","2","0","0","0","2","0.194",0
"0","2","0","0","0","2","0.128",0
"2","0","0","0","0","2","0.128",0
"0","0","0","0","0","2","0.076",0
"2","1","0","0","0","2","0.166",0
"0","1","0","0","0","2","0.12",0
"2","2","1","0","0","2","0.25",0
"0","2","1","0","0","2","0.174",0
"2","0","1","0","0","2","0.168",0
"0","0","1","0","0","2","0.11",0
"2","1","1","0","0","2","0.232",0
"0","1","1","0","0","2","0.158",0
"2","2","2","1","0","2","0.66",0
"0","2","2","1","0","2","0.624",0
"2","0","2","1","0","2","0.54",0
"0","0","2","1","0","2","0.504",0
"2","1","2","1","0","2","0.662",0
"0","1","2","1","0","2","0.582",0
"2","2","0","1","0","2","0.412",0
"0","2","0","1","0","2","0.316",0
"2","0","0","1","0","2","0.276",0
"0","0","0","1","0","2","0.17",0
"2","1","0","1","0","2","0.416",0
"0","1","0","1","0","2","0.264",0
"2","2","1","1","0","2","0.454",0
"0","2","1","1","0","2","0.37",0
"2","0","1","1","0","2","0.3",0
"0","0","1","1","0","2","0.196",0
"2","1","1","1","0","2","0.414",0
"0","1","1","1","0","2","0.254",0
"2","2","2","2","1","2","0.966",0
"0","2","2","2","1","2","0.924",0
"2","0","2","2","1","2","0.876",0
"0","0","2","2","1","2","0.812",0
"2","1","2","2","1","2","0.95",0
"0","1","2","2","1","2","0.88",0
"2","2","0","2","1","2","0.794",0
"0","2","0","2","1","2","0.704",0
"2","0","0","2","1","2","0.654",0
"0","0","0","2","1","2","0.508",0
"2","1","0","2","1","2","0.776",0
"0","1","0","2","1","2","0.64",0
"2","2","1","2","1","2","0.816",0
"0","2","1","2","1","2","0.728",0
"2","0","1","2","1","2","0.668",0
"0","0","1","2","1","2","0.524",0
"2","1","1","2","1","2","0.772",0
"0","1","1","2","1","2","0.64",0
"2","2","2","0","1","2","0.72",0
"0","2","2","0","1","2","0.536",0
"2","0","2","0","1","2","0.688",0
"0","0","2","0","1","2","0.512",0
"2","1","2","0","1","2","0.756",0
"0","1","2","0","1","2","0.56",0
"2","2","0","0","1","2","0.382",0
"0","2","0","0","1","2","0.208",0
"2","0","0","0","1","2","0.314",0
"0","0","0","0","1","2","0.156",0
"2","1","0","0","1","2","0.396",0
"0","1","0","0","1","2","0.218",0
"2","2","1","0","1","2","0.408",0
"0","2","1","0","1","2","0.248",0
"2","0","1","0","1","2","0.33",0
"0","0","1","0","1","2","0.184",0
"2","1","1","0","1","2","0.42",0
"0","1","1","0","1","2","0.246",0
"2","2","2","1","1","2","0.792",0
"0","2","2","1","1","2","0.712",0
"2","0","2","1","1","2","0.686",0
"0","0","2","1","1","2","0.598",0
"2","1","2","1","1","2","0.794",0
"0","1","2","1","1","2","0.656",0
"2","2","0","1","1","2","0.608",0
"0","2","0","1","1","2","0.418",0
"2","0","0","1","1","2","0.478",0
"0","0","0","1","1","2","0.276",0
"2","1","0","1","1","2","0.624",0
"0","1","0","1","1","2","0.356",0
"2","2","1","1","1","2","0.618",0
"0","2","1","1","1","2","0.462",0
"2","0","1","1","1","2","0.474",0
"0","0","1","1","1","2","0.294",0
"2","1","1","1","1","2","0.588",0
"0","1","1","1","1","2","0.34",0
"2","2","2","2","2","0","0.96",0
"0","2","2","2","2","0","0.954",0
"2","0","2","2","2","0","0.842",0
"0","0","2","2","2","0","0.808",0
"2","1","2","2","2","0","0.95",0
"0","1","2","2","2","0","0.904",0
"2","2","0","2","2","0","0.796",0
"0","2","0","2","2","0","0.734",0
"2","0","0","2","2","0","0.608",0
"0","0","0","2","2","0","0.49",0
"2","1","0","2","2","0","0.748",0
"0","1","0","2","2","0","0.622",0
"2","2","1","2","2","0","0.79",0
"0","2","1","2","2","0","0.72",0
"2","0","1","2","2","0","0.604",0
"0","0","1","2","2","0","0.476",0
"2","1","1","2","2","0","0.724",0
"0","1","1","2","2","0","0.592",0
"2","2","2","0","2","0","0.62",0
"0","2","2","0","2","0","0.428",0
"2","0","2","0","2","0","0.602",0
"0","0","2","0","2","0","0.422",0
"2","1","2","0","2","0","0.654",0
"0","1","2","0","2","0","0.468",0
"2","2","0","0","2","0","0.288",0
"0","2","0","0","2","0","0.104",0
"2","0","0","0","2","0","0.244",0
"0","0","0","0","2","0","0.086",0
"2","1","0","0","2","0","0.31",0
"0","1","0","0","2","0","0.13",0
"2","2","1","0","2","0","0.294",0
"0","2","1","0","2","0","0.118",0
"2","0","1","0","2","0","0.25",0
"0","0","1","0","2","0","0.098",0
"2","1","1","0","2","0","0.31",0
"0","1","1","0","2","0","0.126",0
"2","2","2","1","2","0","0.78",0
"0","2","2","1","2","0","0.732",0
"2","0","2","1","2","0","0.672",0
"0","0","2","1","2","0","0.608",0
"2","1","2","1","2","0","0.734",0
"0","1","2","1","2","0","0.612",0
"2","2","0","1","2","0","0.544",0
"0","2","0","1","2","0","0.374",0
"2","0","0","1","2","0","0.414",0
"0","0","0","1","2","0","0.234",0
"2","1","0","1","2","0","0.476",0
"0","1","0","1","2","0","0.204",0
"2","2","1","1","2","0","0.542",0
"0","2","1","1","2","0","0.396",0
"2","0","1","1","2","0","0.406",0
"0","0","1","1","2","0","0.236",0
"2","1","1","1","2","0","0.428",0
"0","1","1","1","2","0","0.162",0
"2","2","2","2","0","0","0.874",0
"0","2","2","2","0","0","0.812",0
"2","0","2","2","0","0","0.756",0
"0","0","2","2","0","0","0.668",0
"2","1","2","2","0","0","0.87",0
"0","1","2","2","0","0","0.776",0
"2","2","0","2","0","0","0.596",0
"0","2","0","2","0","0","0.506",0
"2","0","0","2","0","0","0.416",0
"0","0","0","2","0","0","0.268",0
"2","1","0","2","0","0","0.586",0
"0","1","0","2","0","0","0.438",0
"2","2","1","2","0","0","0.614",0
"0","2","1","2","0","0","0.508",0
"2","0","1","2","0","0","0.432",0
"0","0","1","2","0","0","0.264",0
"2","1","1","2","0","0","0.584",0
"0","1","1","2","0","0","0.422",0
"2","2","2","0","0","0","0.562",0
"0","2","2","0","0","0","0.39",0
"2","0","2","0","0","0","0.542",0
"0","0","2","0","0","0","0.384",0
"2","1","2","0","0","0","0.592",0
"0","1","2","0","0","0","0.412",0
"2","2","0","0","0","0","0.162",0
"0","2","0","0","0","0","0.076",0
"2","0","0","0","0","0","0.122",0
"0","0","0","0","0","0","0.06",0
"2","1","0","0","0","0","0.144",0
"0","1","0","0","0","0","0.07",0
"2","2","1","0","0","0","0.194",0
"0","2","1","0","0","0","0.098",0
"2","0","1","0","0","0","0.146",0
"0","0","1","0","0","0","0.076",0
"2","1","1","0","0","0","0.18",0
"0","1","1","0","0","0","0.082",0
"2","2","2","1","0","0","0.674",0
"0","2","2","1","0","0","0.632",0
"2","0","2","1","0","0","0.562",0
"0","0","2","1","0","0","0.512",0
"2","1","2","1","0","0","0.65",0
"0","1","2","1","0","0","0.548",0
"2","2","0","1","0","0","0.392",0
"0","2","0","1","0","0","0.28",0
"2","0","0","1","0","0","0.26",0
"0","0","0","1","0","0","0.138",0
"2","1","0","1","0","0","0.342",0
"0","1","0","1","0","0","0.16",0
"2","2","1","1","0","0","0.41",0
"0","2","1","1","0","0","0.308",0
"2","0","1","1","0","0","0.268",0
"0","0","1","1","0","0","0.144",0
"2","1","1","1","0","0","0.33",0
"0","1","1","1","0","0","0.138",0
"2","2","2","2","1","0","0.94",0
"0","2","2","2","1","0","0.908",0
"2","0","2","2","1","0","0.826",0
"0","0","2","2","1","0","0.766",0
"2","1","2","2","1","0","0.93",0
"0","1","2","2","1","0","0.864",0
"2","2","0","2","1","0","0.75",0
"0","2","0","2","1","0","0.67",0
"2","0","0","2","1","0","0.57",0
