marcus_pestana,brunocovas
vanderleimacris,brunocovas
danielcoelho45,brunocovas
ricardotripoli,brunocovas
rodrigocastro45,brunocovas
marchezan_,brunocovas
rodrigogarcia_,brunocovas
depbrunafurlan,brunocovas
betomansur10,brunocovas
fabricio4040,brunocovas
duarte_nogueira,brunocovas
depfabiosousa,brunocovas
_silviotorres_,brunocovas
marianapsdb,brunocovas
francischini_,brunocovas
carlosbezerrajr,brunocovas
alfredokaefer,brunocovas
efraimfilho,brunocovas
maragabrilli,brunocovas
floriano45,brunocovas
samuelmoreira,brunocovas
fabiofaria5555,cacaleao
jeronimogoergen,cacaleao
eduardodafonte,cacaleao
depbolsonaro,cacaleao
depjorgesolla,cacaleao
daniel_pcdob,cacaleao
marchezan_,cacaleao
depeduardocunha,cacaleao
afonso_florence,cacaleao
deprobertobritt,cacaleao
antoniobritoba,cacaleao
tiaeron,cacaleao
alice_portugal,cacaleao
luciovl_,cacaleao
deputadobacelar,cacaleao
pauloazi,cacaleao
felixmendoncajr,cacaleao
aleluiacosta,cacaleao
departhurmaia,cacaleao
valmirassuncao,cacaleao
josenunesdep,cacaleao
joaofernandope,cadoca
betinhogomes,cadoca
danielcoelho45,cadoca
onyxlorenzoni,cadoca
augustocmelo,cadoca
mendonca_filho,cadoca
leonardoquintao,cadoca
deputadaluciana,cadoca
eduardodafonte,cadoca
canzianialex,cadoca
osmar_serraglio,cadoca
brunoaraujo4511,cadoca
fbcfilho,cadoca
raul_jungmann,cadoca
depvecci45,caionarcio
izalcilucas,caionarcio
nilson_leitao,caionarcio
alexandrebaldy,caionarcio
_silviotorres_,caionarcio
dep_imbassahy,caionarcio
vanderleimacris,caionarcio
deputadohauly,caionarcio
depnilsonpinto,caionarcio
rossoni,caionarcio
joaoppapa,caionarcio
samuelmoreira,caionarcio
depjoaocampos,caionarcio
delegado_waldir,caionarcio
maxmaurofilho,caionarcio
marchezan_,caionarcio
geovaniadesa,caionarcio
arthurbisneto,caionarcio
vilelapedro,caionarcio
depbrunafurlan,caionarcio
betinhogomes,caionarcio
rogeriosmarinho,caionarcio
floriano45,caionarcio
depfabiosousa,caionarcio
maragabrilli,caionarcio
onyxlorenzoni,caionarcio
carlossampaio_,caionarcio
danielcoelho45,caionarcio
jomoraes,caionarcio
odelmoleao,caionarcio
depjuliodelgado,caionarcio
marceloaro,caionarcio
marianapsdb,caionarcio
duarte_nogueira,caionarcio
ricardotripoli,caionarcio
otavioleite,caionarcio
raimundo_matos,caionarcio
reginaldolopes,caionarcio
deprodrigomaia,caionarcio
gguimaraespt,caionarcio
erosbiondini,caionarcio
pauloabiackel,caionarcio
bandrada,caionarcio
efraimfilho,caionarcio
depmarcomaia,caionarcio
lincoln_portela,caionarcio
brunoaraujo4511,caionarcio
domingossaviomg,caionarcio
brunocovas,caionarcio
rodrigocastro45,caionarcio
indio,caionarcio
marcus_pestana,caionarcio
eduardobarbosa_,caionarcio
indio,canzianialex
depfelipemaia,canzianialex
rogeriosmarinho,canzianialex
carloszarattini,canzianialex
antoniobritoba,canzianialex
marcelobelinati,canzianialex
alielmachado,canzianialex
depdaniloforte,canzianialex
mendonca_filho,canzianialex
brunoaraujo4511,canzianialex
pauloteixeira13,canzianialex
deputado_busato,canzianialex
dep_crisbrasil,canzianialex
iracemaportela,canzianialex
jandira_feghali,canzianialex
ricardotripoli,canzianialex
leopoldo_meyer,canzianialex
depsperafico,canzianialex
rodrigocastro45,canzianialex
luiznishimori,canzianialex
brunocovas,canzianialex
_silviotorres_,canzianialex
walterihoshi,canzianialex
carlossampaio_,canzianialex
jaiminhomartins,canzianialex
domingossaviomg,canzianialex
depmarcosmontes,canzianialex
vanderleimacris,canzianialex
depleopicciani,canzianialex
fabiofaria5555,canzianialex
andrepdt12,canzianialex
enioverri13,canzianialex
benitogama,canzianialex
edmararruda,canzianialex
sandroalex2323,canzianialex
renatomolling,canzianialex
lelocoimbra_,canzianialex
depjuliodelgado,canzianialex
marchezan_,canzianialex
depafonsohamm,canzianialex
jeronimogoergen,canzianialex
osmarterra,canzianialex
floriano45,canzianialex
otavioleite,canzianialex
duarte_nogueira,canzianialex
marcus_pestana,canzianialex
eduardobarbosa_,canzianialex
joao_arruda,canzianialex
luciovl_,canzianialex
depeduardocunha,canzianialex
joseairtonpt,canzianialex
dephugoleal,canzianialex
fernandomarroni,canzianialex
cadoca,canzianialex
elcionepmdb,canzianialex
celsomaldaner,canzianialex
leonardoquintao,canzianialex
arnaldojardim,canzianialex
onyxlorenzoni,canzianialex
darcisioperondi,canzianialex
