"gov","minoria","pmdb","psd","psdb","pt","TIPO","pps","pr","prp","resultado"
"Não","Sim","Sim","Liberado","Não","Não","MPV","Sim","Sim","Sim",271.196565494544
"Sim","Não","Sim","Liberado","Não","Não","MPV","Sim","Sim","Sim",258.366446735432
"Não","Não","Sim","Liberado","Não","Não","MPV","Sim","Sim","Sim",251.758535041227
"Sim","Liberado","Sim","Liberado","Não","Não","MPV","Sim","Sim","Sim",264.145431042468
"Não","Liberado","Sim","Liberado","Não","Não","MPV","Sim","Sim","Sim",259.962629292088
"Sim","Sim","Não","Liberado","Não","Não","MPV","Sim","Sim","Sim",219.358218788758
"Não","Sim","Não","Liberado","Não","Não","MPV","Sim","Sim","Sim",210.19615177481
"Sim","Não","Não","Liberado","Não","Não","MPV","Sim","Sim","Sim",193.538225824015
"Não","Não","Não","Liberado","Não","Não","MPV","Sim","Sim","Sim",183.955446160955
"Sim","Liberado","Não","Liberado","Não","Não","MPV","Sim","Sim","Sim",204.055423998556
"Não","Liberado","Não","Liberado","Não","Não","MPV","Sim","Sim","Sim",196.859420199398
"Sim","Sim","Liberado","Liberado","Não","Não","MPV","Sim","Sim","Sim",249.10184235935
"Não","Sim","Liberado","Liberado","Não","Não","MPV","Sim","Sim","Sim",241.799798877159
"Sim","Não","Liberado","Liberado","Não","Não","MPV","Sim","Sim","Sim",226.108303383589
"Não","Não","Liberado","Liberado","Não","Não","MPV","Sim","Sim","Sim",221.244359601672
"Sim","Liberado","Liberado","Liberado","Não","Não","MPV","Sim","Sim","Sim",234.224948961692
"Não","Liberado","Liberado","Liberado","Não","Não","MPV","Sim","Sim","Sim",232.461049476694
"Sim","Sim","Sim","Sim","Liberado","Não","MPV","Sim","Sim","Sim",301.055901611689
"Não","Sim","Sim","Sim","Liberado","Não","MPV","Sim","Sim","Sim",295.674085833602
"Sim","Não","Sim","Sim","Liberado","Não","MPV","Sim","Sim","Sim",279.124764383741
"Não","Não","Sim","Sim","Liberado","Não","MPV","Sim","Sim","Sim",276.480508501843
"Sim","Liberado","Sim","Sim","Liberado","Não","MPV","Sim","Sim","Sim",283.769811134777
"Não","Liberado","Sim","Sim","Liberado","Não","MPV","Sim","Sim","Sim",283.758956248932
"Sim","Sim","Não","Sim","Liberado","Não","MPV","Sim","Sim","Sim",235.297201138532
"Não","Sim","Não","Sim","Liberado","Não","MPV","Sim","Sim","Sim",230.929096364259
"Sim","Não","Não","Sim","Liberado","Não","MPV","Sim","Sim","Sim",213.389601805634
"Não","Não","Não","Sim","Liberado","Não","MPV","Sim","Sim","Sim",208.553644656817
"Sim","Liberado","Não","Sim","Liberado","Não","MPV","Sim","Sim","Sim",222.262982068371
"Não","Liberado","Não","Sim","Liberado","Não","MPV","Sim","Sim","Sim",219.84234959298
"Sim","Sim","Liberado","Sim","Liberado","Não","MPV","Sim","Sim","Sim",264.18469165213
"Não","Sim","Liberado","Sim","Liberado","Não","MPV","Sim","Sim","Sim",261.393353932401
"Sim","Não","Liberado","Sim","Liberado","Não","MPV","Sim","Sim","Sim",243.589683502734
"Não","Não","Liberado","Sim","Liberado","Não","MPV","Sim","Sim","Sim",243.193705757846
"Sim","Liberado","Liberado","Sim","Liberado","Não","MPV","Sim","Sim","Sim",250.500617721658
"Não","Liberado","Liberado","Sim","Liberado","Não","MPV","Sim","Sim","Sim",253.123875940356
"Sim","Sim","Sim","Não","Liberado","Não","MPV","Sim","Sim","Sim",270.913369350071
"Não","Sim","Sim","Não","Liberado","Não","MPV","Sim","Sim","Sim",261.233102908431
"Sim","Não","Sim","Não","Liberado","Não","MPV","Sim","Sim","Sim",250.864109914045
"Não","Não","Sim","Não","Liberado","Não","MPV","Sim","Sim","Sim",243.369564560353
"Sim","Liberado","Sim","Não","Liberado","Não","MPV","Sim","Sim","Sim",257.4332690374
"Não","Liberado","Sim","Não","Liberado","Não","MPV","Sim","Sim","Sim",251.87483455013
