"gov","minoria","pmdb","psd","psdb","pt","resultado","KIND"
"2","1","2","2","1","2","0.95",0
"0","1","2","2","1","2","0.892",0
"2","2","0","2","1","2","0.804",0
"0","2","0","2","1","2","0.746",0
"2","0","0","2","1","2","0.74",0
"0","0","0","2","1","2","0.636",0
"2","1","0","2","1","2","0.822",0
"0","1","0","2","1","2","0.712",0
"2","2","1","2","1","2","0.852",0
"0","2","1","2","1","2","0.812",0
"2","0","1","2","1","2","0.824",0
"0","0","1","2","1","2","0.728",0
"2","1","1","2","1","2","0.858",0
"0","1","1","2","1","2","0.786",0
"2","2","2","0","1","2","0.706",0
"0","2","2","0","1","2","0.552",0
"2","0","2","0","1","2","0.718",0
"0","0","2","0","1","2","0.544",0
"2","1","2","0","1","2","0.76",0
"0","1","2","0","1","2","0.604",0
"2","2","0","0","1","2","0.414",0
"0","2","0","0","1","2","0.278",0
"2","0","0","0","1","2","0.394",0
"0","0","0","0","1","2","0.244",0
"2","1","0","0","1","2","0.482",0
"0","1","0","0","1","2","0.316",0
"2","2","1","0","1","2","0.48",0
"0","2","1","0","1","2","0.354",0
"2","0","1","0","1","2","0.462",0
"0","0","1","0","1","2","0.318",0
"2","1","1","0","1","2","0.55",0
"0","1","1","0","1","2","0.406",0
"2","2","2","1","1","2","0.926",0
"0","2","2","1","1","2","0.868",0
"2","0","2","1","1","2","0.896",0
"0","0","2","1","1","2","0.802",0
"2","1","2","1","1","2","0.92",0
"0","1","2","1","1","2","0.84",0
"2","2","0","1","1","2","0.74",0
"0","2","0","1","1","2","0.63",0
"2","0","0","1","1","2","0.672",0
"0","0","0","1","1","2","0.532",0
"2","1","0","1","1","2","0.78",0
"0","1","0","1","1","2","0.612",0
"2","2","1","1","1","2","0.796",0
"0","2","1","1","1","2","0.726",0
"2","0","1","1","1","2","0.752",0
"0","0","1","1","1","2","0.642",0
"2","1","1","1","1","2","0.818",0
"0","1","1","1","1","2","0.714",0
"2","2","2","2","2","0","0.99",0
"0","2","2","2","2","0","0.972",0
"2","0","2","2","2","0","0.958",0
"0","0","2","2","2","0","0.894",0
"2","1","2","2","2","0","0.958",0
"0","1","2","2","2","0","0.928",0
"2","2","0","2","2","0","0.828",0
"0","2","0","2","2","0","0.804",0
"2","0","0","2","2","0","0.72",0
"0","0","0","2","2","0","0.648",0
"2","1","0","2","2","0","0.814",0
"0","1","0","2","2","0","0.74",0
"2","2","1","2","2","0","0.89",0
"0","2","1","2","2","0","0.874",0
"2","0","1","2","2","0","0.832",0
"0","0","1","2","2","0","0.76",0
"2","1","1","2","2","0","0.876",0
"0","1","1","2","2","0","0.826",0
"2","2","2","0","2","0","0.652",0
"0","2","2","0","2","0","0.492",0
"2","0","2","0","2","0","0.66",0
"0","0","2","0","2","0","0.49",0
"2","1","2","0","2","0","0.686",0
"0","1","2","0","2","0","0.53",0
"2","2","0","0","2","0","0.398",0
"0","2","0","0","2","0","0.266",0
"2","0","0","0","2","0","0.374",0
"0","0","0","0","2","0","0.228",0
"2","1","0","0","2","0","0.45",0
"0","1","0","0","2","0","0.296",0
"2","2","1","0","2","0","0.454",0
"0","2","1","0","2","0","0.318",0
"2","0","1","0","2","0","0.436",0
"0","0","1","0","2","0","0.286",0
"2","1","1","0","2","0","0.504",0
"0","1","1","0","2","0","0.348",0
"2","2","2","1","2","0","0.94",0
"0","2","2","1","2","0","0.9",0
"2","0","2","1","2","0","0.896",0
"0","0","2","1","2","0","0.824",0
"2","1","2","1","2","0","0.914",0
"0","1","2","1","2","0","0.854",0
"2","2","0","1","2","0","0.734",0
"0","2","0","1","2","0","0.64",0
"2","0","0","1","2","0","0.642",0
"0","0","0","1","2","0","0.516",0
"2","1","0","1","2","0","0.724",0
"0","1","0","1","2","0","0.576",0
"2","2","1","1","2","0","0.83",0
"0","2","1","1","2","0","0.776",0
"2","0","1","1","2","0","0.762",0
"0","0","1","1","2","0","0.666",0
"2","1","1","1","2","0","0.814",0
"0","1","1","1","2","0","0.72",0
"2","2","2","2","0","0","0.97",0
"0","2","2","2","0","0","0.9",0
"2","0","2","2","0","0","0.938",0
"0","0","2","2","0","0","0.818",0
"2","1","2","2","0","0","0.938",0
"0","1","2","2","0","0","0.858",0
"2","2","0","2","0","0","0.708",0
"0","2","0","2","0","0","0.648",0
"2","0","0","2","0","0","0.596",0
"0","0","0","2","0","0","0.486",0
"2","1","0","2","0","0","0.684",0
"0","1","0","2","0","0","0.574",0
"2","2","1","2","0","0","0.826",0
"0","2","1","2","0","0","0.764",0
"2","0","1","2","0","0","0.772",0
"0","0","1","2","0","0","0.65",0
"2","1","1","2","0","0","0.802",0
"0","1","1","2","0","0","0.71",0
"2","2","2","0","0","0","0.616",0
"0","2","2","0","0","0","0.468",0
"2","0","2","0","0","0","0.624",0
"0","0","2","0","0","0","0.466",0
"2","1","2","0","0","0","0.656",0
"0","1","2","0","0","0","0.508",0
"2","2","0","0","0","0","0.254",0
"0","2","0","0","0","0","0.202",0
"2","0","0","0","0","0","0.228",0
"0","0","0","0","0","0","0.166",0
"2","1","0","0","0","0","0.25",0
"0","1","0","0","0","0","0.19",0
"2","2","1","0","0","0","0.348",0
"0","2","1","0","0","0","0.268",0
"2","0","1","0","0","0","0.33",0
"0","0","1","0","0","0","0.238",0
"2","1","1","0","0","0","0.374",0
"0","1","1","0","0","0","0.272",0
"2","2","2","1","0","0","0.882",0
"0","2","2","1","0","0","0.822",0
"2","0","2","1","0","0","0.83",0
"0","0","2","1","0","0","0.738",0
"2","1","2","1","0","0","0.852",0
"0","1","2","1","0","0","0.778",0
"2","2","0","1","0","0","0.564",0
"0","2","0","1","0","0","0.496",0
"2","0","0","1","0","0","0.458",0
"0","0","0","1","0","0","0.362",0
"2","1","0","1","0","0","0.536",0
"0","1","0","1","0","0","0.426",0
"2","2","1","1","0","0","0.7",0
"0","2","1","1","0","0","0.65",0
"2","0","1","1","0","0","0.626",0
"0","0","1","1","0","0","0.536",0
"2","1","1","1","0","0","0.676",0
"0","1","1","1","0","0","0.596",0
"2","2","2","2","1","0","0.964",0
"0","2","2","2","1","0","0.932",0
"2","0","2","2","1","0","0.932",0
"0","0","2","2","1","0","0.854",0
"2","1","2","2","1","0","0.932",0
"0","1","2","2","1","0","0.884",0
"2","2","0","2","1","0","0.788",0
"0","2","0","2","1","0","0.748",0
"2","0","0","2","1","0","0.686",0
"0","0","0","2","1","0","0.596",0
"2","1","0","2","1","0","0.77",0
"0","1","0","2","1","0","0.676",0
"2","2","1","2","1","0","0.85",0
"0","2","1","2","1","0","0.816",0
"2","0","1","2","1","0","0.796",0
"0","0","1","2","1","0","0.706",0
"2","1","1","2","1","0","0.834",0
"0","1","1","2","1","0","0.764",0
"2","2","2","0","1","0","0.638",0
"0","2","2","0","1","0","0.462",0
"2","0","2","0","1","0","0.646",0
"0","0","2","0","1","0","0.458",0
"2","1","2","0","1","0","0.672",0
"0","1","2","0","1","0","0.494",0
"2","2","0","0","1","0","0.362",0
"0","2","0","0","1","0","0.22",0
"2","0","0","0","1","0","0.344",0
"0","0","0","0","1","0","0.186",0
"2","1","0","0","1","0","0.396",0
"0","1","0","0","1","0","0.226",0
"2","2","1","0","1","0","0.43",0
"0","2","1","0","1","0","0.278",0
"2","0","1","0","1","0","0.414",0
"0","0","1","0","1","0","0.248",0
"2","1","1","0","1","0","0.47",0
"0","1","1","0","1","0","0.294",0
"2","2","2","1","1","0","0.916",0
"0","2","2","1","1","0","0.862",0
"2","0","2","1","1","0","0.874",0
"0","0","2","1","1","0","0.786",0
"2","1","2","1","1","0","0.89",0
"0","1","2","1","1","0","0.814",0
"2","2","0","1","1","0","0.694",0
"0","2","0","1","1","0","0.588",0
"2","0","0","1","1","0","0.608",0
"0","0","0","1","1","0","0.468",0
"2","1","0","1","1","0","0.684",0
"0","1","0","1","1","0","0.522",0
"2","2","1","1","1","0","0.784",0
"0","2","1","1","1","0","0.712",0
"2","0","1","1","1","0","0.722",0
"0","0","1","1","1","0","0.608",0
"2","1","1","1","1","0","0.772",0
"0","1","1","1","1","0","0.662",0
"2","2","2","2","2","2","0.99",0
"0","2","2","2","2","2","0.948",0
"2","0","2","2","2","2","0.844",0
"0","0","2","2","2","2","0.8",0
"2","1","2","2","2","2","0.956",0
"0","1","2","2","2","2","0.91",0
"2","2","0","2","2","2","0.728",0
"0","2","0","2","2","2","0.592",0
"2","0","0","2","2","2","0.616",0
"0","0","0","2","2","2","0.46",0
"2","1","0","2","2","2","0.722",0
"0","1","0","2","2","2","0.558",0
"2","2","1","2","2","2","0.846",0
"0","2","1","2","2","2","0.796",0
"2","0","1","2","2","2","0.732",0
"0","0","1","2","2","2","0.652",0
"2","1","1","2","2","2","0.83",0
"0","1","1","2","2","2","0.758",0
"2","2","2","0","2","2","0.692",0
"0","2","2","0","2","2","0.524",0
"2","0","2","0","2","2","0.662",0
"0","0","2","0","2","2","0.512",0
"2","1","2","0","2","2","0.724",0
"0","1","2","0","2","2","0.572",0
"2","2","0","0","2","2","0.374",0
"0","2","0","0","2","2","0.17",0
"2","0","0","0","2","2","0.346",0
"0","0","0","0","2","2","0.156",0
"2","1","0","0","2","2","0.424",0
"0","1","0","0","2","2","0.216",0
"2","2","1","0","2","2","0.454",0
"0","2","1","0","2","2","0.292",0
"2","0","1","0","2","2","0.418",0
"0","0","1","0","2","2","0.268",0
"2","1","1","0","2","2","0.508",0
"0","1","1","0","2","2","0.342",0
"2","2","2","1","2","2","0.93",0
"0","2","2","1","2","2","0.844",0
"2","0","2","1","2","2","0.806",0
"0","0","2","1","2","2","0.73",0
"2","1","2","1","2","2","0.906",0
"0","1","2","1","2","2","0.808",0
"2","2","0","1","2","2","0.616",0
"0","2","0","1","2","2","0.39",0
"2","0","0","1","2","2","0.534",0
"0","0","0","1","2","2","0.308",0
"2","1","0","1","2","2","0.646",0
"0","1","0","1","2","2","0.378",0
"2","2","1","1","2","2","0.76",0
"0","2","1","1","2","2","0.654",0
"2","0","1","1","2","2","0.664",0
"0","0","1","1","2","2","0.542",0
"2","1","1","1","2","2","0.758",0
"0","1","1","1","2","2","0.626",0
"2","2","2","2","0","2","0.838",0
"0","2","2","2","0","2","0.806",0
"2","0","2","2","0","2","0.668",0
"0","0","2","2","0","2","0.642",0
"2","1","2","2","0","2","0.794",0
"0","1","2","2","0","2","0.762",0
"2","2","0","2","0","2","0.538",0
"0","2","0","2","0","2","0.424",0
"2","0","0","2","0","2","0.414",0
"0","0","0","2","0","2","0.282",0
"2","1","0","2","0","2","0.53",0
"0","1","0","2","0","2","0.386",0
"2","2","1","2","0","2","0.662",0
"0","2","1","2","0","2","0.628",0
"2","0","1","2","0","2","0.536",0
"0","0","1","2","0","2","0.474",0
"2","1","1","2","0","2","0.642",0
"0","1","1","2","0","2","0.582",0
"2","2","2","0","0","2","0.594",0
"0","2","2","0","0","2","0.472",0
"2","0","2","0","0","2","0.558",0
"0","0","2","0","0","2","0.454",0
"2","1","2","0","0","2","0.62",0
"0","1","2","0","0","2","0.51",0
"2","2","0","0","0","2","0.126",0
"0","2","0","0","0","2","0.056",0
"2","0","0","0","0","2","0.092",0
"0","0","0","0","0","2","0.038",0
