"ID_VOTACAO","governismo","grupo_governismo","DATA","HORA","ORIENTACAO_GOVERNO","TIPO","NUMERO","ANO","EMENTA","O_QUE_FOI_VOTADO","LINGUAGEM_COMUM"
"a46df51378fcd3380aa77020949987e7",0.84272997032641,1,150303,"17:38:00","Sim","REQ",7492,2013,"Requer, nos termos do art. 155 do Regimento Interno da Câmara dos Deputados, urgência para apreciação do Projeto de Lei nº 4.372, de 2012, do Executivo, que 'cria o Instituto Nacional de Supervisão e Avaliação da Educação Superior - INSAES, e dá outras providências'.","Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 284 ; não: 53; abstenção:6 ; total: 344 .","Criação de instituto para avaliação do ensino superior"
"a7df6f06513d14c777b45d5f65e18a7c",0.52073732718894,0,150318,"18:50:00","Sim","PL",7469,2014,"Altera a Lei nº 12.382, de 25 de fevereiro de 2011, com o objetivo de estender o prazo referente à política de valorização do salário mínimo e, consequentemente, o seu aumento real, mantendo os índices de correção vigentes.","Aprovado o Requerimento. Sim: 226; não: 208; abstenção: 2; total: 436.","Correção do salário mínimo"
"a9ac8d5bb2180f1db7946845e58a85dd",0.240793201133144,0,150331,"16:57:00","Sim","PL",3481,2012,"Dispõe sobre uso de explosivos na destruição ou rompimento de obstáculo para o crime de Furto e dá outras providências.","Rejeitado o Requerimento.Sim: 85; não: 268; total: 353.","Muda pena para uso de explosão durante furto"
"aa684439fc00f310813fbf5eb2f3cb6f",0.996835443037975,1,150305,"16:38:00","Sim","REQ",796,2015,"Requer regime de urgência para apreciação de proposição.","Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 01; abstenção: 01; total: 318.","Requer regime de urgência para apreciação de proposição."
"ad6906d5e815908bca19ec0a16597576",0.540106951871658,0,150325,"17:52:00","Sim","PL",4148,2008,"Altera e acresce dispositivos à Lei nº 11.105, de 24 de março de 2005.","Aprovado o Requerimento. Sim:  202; Não: 173; abstenção: 3; total: 377.","Fim da rotulagem de alimentos transgênicos"
"b7ff12f06e06d872c248b9fdcab18507",0.84272997032641,1,150303,"17:38:00","Sim","REQ",7492,2013,"Requer, nos termos do art. 155 do Regimento Interno da Câmara dos Deputados, urgência para apreciação do Projeto de Lei nº 4.372, de 2012, do Executivo, que 'cria o Instituto Nacional de Supervisão e Avaliação da Educação Superior - INSAES, e dá outras providências'.","Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 284 ; não: 53; abstenção:6 ; total: 344 .
 - (Ficam prejudicados os Requerimentos de n. 10.392/2014 e 512/2015, de mesmo teor).","Criação de instituto para avaliação do ensino superior"
"d81fb87ec9df00a158471173e4556fa2",0.453083109919571,0,150317,"19:44:00","Não","PLP",302,2013,"Dispõe sobre o contrato de trabalho doméstico; altera as Leis nº 8.212, de 24 de julho de 1991, nº 8.213, de 24 de julho de 1991, e Lei nº 11.196, de 21 de novembro de 2005; revoga o inciso I do art. 3º da Lei nº 8.009, de 29 de março de 1990, o art. 36 da Lei nº 8.213, de 24 de julho de 1991, a Lei nº 5.859, de 11 de dezembro de 1972, e o inciso VII do art. 12 da Lei nº 9.250, de 26 de dezembro 1995; e dá outras providências.","","Regulamentação do trabalho doméstico"
"ddedadeda3ef1fa3017ca675661b7f65",0.661392405063291,0,150409,"16:33:00","Sim","MPV",661,2014,"Autoriza a União a conceder crédito ao Banco Nacional de Desenvolvimento Econômico e Social - BNDES e a destinar superávit financeiro das fontes de recursos existentes no Tesouro Nacional à cobertura de despesas primárias obrigatórias.","Aprovado o Recurso. Sim: 209; não: 107; total: 316. Em consequência, os referidos arts. 3º, 4º, 5º e 8º voltam a integrar Projeto de Lei de Conversão nº 2/2015.","Autoriza União a conceder crédito ao BNDES"
"e25095aa6ef51471681a7b4c6c91d147",0.400497512437811,0,150210,"18:40:00","Sim","PL",7735,2014,"Regulamenta o inciso II do § 1º e o § 4º do art. 225 da Constituição Federal, o Artigo 1,  a alínea j do Artigo 8, a alínea c do Artigo 10, o Artigo 15 e os §§ 3º e 4º do Artigo 16 da Convenção sobre Diversidade Biológica, promulgada pelo Decreto nº 2.519, de 16 de março de 1998; dispõe sobre o acesso ao patrimônio genético, sobre a proteção e o acesso ao conhecimento tradicional associado e sobre a repartição de benefícios para conservação e uso sustentável da biodiversidade; revoga a Medida Provisória nº 2.186-16, de 23 de agosto de 2001; e dá outras providências.","Rejeitada a Emenda nº 193. Sim: 161; não: 241; abstenção: 1; total: 403.","Atualiza  normas do acesso ao patrimônio genético de plantas e animais"
"eff477b7ea6c8b7456f0bd59048d9707",0.431034482758621,0,150409,"18:20:00","Não","MPV",661,2014,"Autoriza a União a conceder crédito ao Banco Nacional de Desenvolvimento Econômico e Social - BNDES e a destinar superávit financeiro das fontes de recursos existentes no Tesouro Nacional à cobertura de despesas primárias obrigatórias.","Aprovada a Emenda nº 37. Sim: 198; não: 150; abstenção: 1; total: 349.","Autoriza União a conceder crédito ao BNDES"
"f1e556b5d1e0230d76c24ef99d275581",0.991279069767442,1,150326,"13:13:00","Sim","PL",3131,2008,"Altera os arts. 61, 121, 129 e 147 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, e o art. 2º da Lei nº 8.072, de 25 de julho de 1990 - Lei dos Crimes Hediondos, para prever como qualificadora e circunstância que agrava a pena a hipótese de a vítima ou de o autor ser agente do Estado, no exercício de cargo ou função pública ou em decorrência da mesma.","Aprovada a Subemenda Substitutiva Global ao Projeto de Lei  nº 846 de 2015, apensado, oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania, ressalvados os destaques. Sim: 341; não 3; abstenção: 1; total: 345.","Torna crime hediondo o homicídio de policiais"
"f98671ef28eed107b797d44c2e4b1a73",0.519337016574586,0,150305,"18:41:00","Sim","PL",7699,2006,"Institui o Estatuto do Portador de Deficiência e dá outras providências.","Em razão do resultado proclamado pela Mesa: 'Suprimido o texto' (em processo simbólico), foi solicitada a verificação da votação pelos Deputados Erika Kokay, na qualidade de Líder do PT; Carmen Zanotto, na qualidade de Líder do PPS; Jovair Arantes, Líder do PTB; Jean Wyllys, na qualidade de Líder do PSOL; e Sarney Filho, Líder do PV, passando-se à sua votação pelo processo nominal.","Estatuto do portador de deficiência"
"fdb30583a9c709defa839c355b0d9886",0.297180043383948,0,150408,"20:49:00","Não","PL",4330,2004,"Dispõe sobre o contrato de prestação de serviço a terceiros e as relações de trabalho dele decorrentes.","Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania às Emendas de Plenário e ao Projeto de Lei nº 4.330 de 2004, ressalvados os destaques. Sim: 324; não: 137; abstenção: 2; total: 463.","PL da terceirização"
