"gov","minoria","pmdb","psd","psdb","pt","PMDB","PSDB","PSD","PT","resultado"
"Sim","Liberado","Liberado","Sim","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.836
"Não","Liberado","Liberado","Sim","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.832
"Sim","Sim","Sim","Não","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.74
"Não","Sim","Sim","Não","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.694
"Sim","Não","Sim","Não","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.708
"Não","Não","Sim","Não","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.672
"Sim","Liberado","Sim","Não","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.72
"Não","Liberado","Sim","Não","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.67
"Sim","Sim","Não","Não","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.544
"Não","Sim","Não","Não","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.504
"Sim","Não","Não","Não","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.488
"Não","Não","Não","Não","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.444
"Sim","Liberado","Não","Não","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.528
"Não","Liberado","Não","Não","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.48
"Sim","Sim","Liberado","Não","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.568
"Não","Sim","Liberado","Não","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.524
"Sim","Não","Liberado","Não","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.526
"Não","Não","Liberado","Não","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.492
"Sim","Liberado","Liberado","Não","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.564
"Não","Liberado","Liberado","Não","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.52
"Sim","Sim","Sim","Liberado","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.874
"Não","Sim","Sim","Liberado","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.882
"Sim","Não","Sim","Liberado","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.802
"Não","Não","Sim","Liberado","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.832
"Sim","Liberado","Sim","Liberado","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.86
"Não","Liberado","Sim","Liberado","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.852
"Sim","Sim","Não","Liberado","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.832
"Não","Sim","Não","Liberado","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.826
"Sim","Não","Não","Liberado","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.768
"Não","Não","Não","Liberado","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.768
"Sim","Liberado","Não","Liberado","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.846
"Não","Liberado","Não","Liberado","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.82
"Sim","Sim","Liberado","Liberado","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.834
"Não","Sim","Liberado","Liberado","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.842
"Sim","Não","Liberado","Liberado","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.776
"Não","Não","Liberado","Liberado","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.8
"Sim","Liberado","Liberado","Liberado","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.848
"Não","Liberado","Liberado","Liberado","Sim","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.842
"Sim","Sim","Sim","Sim","Não","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.838
"Não","Sim","Sim","Sim","Não","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.844
"Sim","Não","Sim","Sim","Não","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.766
"Não","Não","Sim","Sim","Não","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.794
"Sim","Liberado","Sim","Sim","Não","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.828
"Não","Liberado","Sim","Sim","Não","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.822
"Sim","Sim","Não","Sim","Não","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.762
"Não","Sim","Não","Sim","Não","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.758
"Sim","Não","Não","Sim","Não","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.696
"Não","Não","Não","Sim","Não","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.698
"Sim","Liberado","Não","Sim","Não","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.776
"Não","Liberado","Não","Sim","Não","Não",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.756
