"gov","minoria","pmdb","psd","psdb","pt","PMDB","PSDB","PSD","PT","resultado"
"Não","Não","Não","Não","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.414
"Sim","Liberado","Não","Não","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.538
"Não","Liberado","Não","Não","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.464
"Sim","Sim","Liberado","Não","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.558
"Não","Sim","Liberado","Não","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.498
"Sim","Não","Liberado","Não","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.518
"Não","Não","Liberado","Não","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.466
"Sim","Liberado","Liberado","Não","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.568
"Não","Liberado","Liberado","Não","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.508
"Sim","Sim","Sim","Liberado","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.838
"Não","Sim","Sim","Liberado","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.83
"Sim","Não","Sim","Liberado","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.756
"Não","Não","Sim","Liberado","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.768
"Sim","Liberado","Sim","Liberado","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.83
"Não","Liberado","Sim","Liberado","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.808
"Sim","Sim","Não","Liberado","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.818
